NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Gustav Kasselstrand,35,M,Alternativ för Sverige,AfS
Evelina Hahne,27,K,Alternativ för Sverige,AfS
Claes Lindh,65,M,Alternativ för Sverige,AfS
Arne Johansson,71,M,Alternativ för Sverige,AfS
Lars-Anders Espert,80,M,Alternativ för Sverige,AfS
Ulf Larsson,59,M,Alternativ för Sverige,AfS
Mattias From,30,M,Alternativ för Sverige,AfS
Mattias Dahlgren,20,M,Alternativ för Sverige,AfS
Marie Axelsson Ahl,64,K,Alternativ för Sverige,AfS
Eva Pettersson,62,K,Alternativ för Sverige,AfS
Roger Ivargren,66,M,Alternativ för Sverige,AfS
Mikael Jansson,57,M,Alternativ för Sverige,AfS
Ola Ulvås,52,M,Alternativ för Sverige,AfS
Joakim Isheden,31,M,Alternativ för Sverige,AfS
Christian Peterson,20,M,Alternativ för Sverige,AfS
Iván Knézy,72,M,Alternativ för Sverige,AfS
Lotta Appelqvist,63,K,Alternativ för Sverige,AfS
Axel W Karlsson,74,M,Alternativ för Sverige,AfS
Jonas Serneholt,47,M,Alternativ för Sverige,AfS
Per-Olof Henningsson,79,M,Alternativ för Sverige,AfS
Hans-Olof Karlsson,66,M,Alternativ för Sverige,AfS
Per Hansson,55,M,Alternativ för Sverige,AfS
Jeff Ahl,35,M,Alternativ för Sverige,AfS
Urban Larsson,61,M,Alternativ för Sverige,AfS
Eva Dillner,69,K,Alternativ för Sverige,AfS
Anders Bergström,54,M,Alternativ för Sverige,AfS
Börje Brandhill,75,M,Alternativ för Sverige,AfS
Lars Helgesson,69,M,Alternativ för Sverige,AfS
Steve Svensson,66,M,Alternativ för Sverige,AfS
Erling Hansen,73,M,Alternativ för Sverige,AfS
Johan Wadenbäck,48,M,Alternativ för Sverige,AfS
Christer Backéus,65,M,Alternativ för Sverige,AfS
Joanna Barnes,54,K,Alternativ för Sverige,AfS
Per Sefastsson,36,M,Alternativ för Sverige,AfS
Christoffer Brinkåker,30,M,Alternativ för Sverige,AfS
Allan Jönsson,59,M,Alternativ för Sverige,AfS
Marcus Jonsson,47,M,Alternativ för Sverige,AfS
Patrik Drevestedt,45,M,Alternativ för Sverige,AfS
Christine Bivefors,60,K,Alternativ för Sverige,AfS
Andreas Feymark,38,M,Alternativ för Sverige,AfS
Yvonne Lindholm,56,K,Alternativ för Sverige,AfS
Sven Valerio,47,M,Alternativ för Sverige,AfS
Mikael Simm,33,M,Alternativ för Sverige,AfS
Lennart Matikainen,59,M,Alternativ för Sverige,AfS
Anders Ygeman,52,M,Arbetarepartiet-Socialdemokraterna,S
Elsemarie Bjellqvist,78,K,Arbetarepartiet-Socialdemokraterna,S
Sultan Kayhan,34,K,Arbetarepartiet-Socialdemokraterna,S
Curre Hansson,74,M,Arbetarepartiet-Socialdemokraterna,S
Camila Salazar Atías,50,K,Arbetarepartiet-Socialdemokraterna,S
Jamal El Mourabit,47,M,Arbetarepartiet-Socialdemokraterna,S
Teres Lindberg,47,K,Arbetarepartiet-Socialdemokraterna,S
Bawer Kevir,59,M,Arbetarepartiet-Socialdemokraterna,S
Karin Lekberg,57,K,Arbetarepartiet-Socialdemokraterna,S
Elvir Kazinic,51,M,Arbetarepartiet-Socialdemokraterna,S
Annika Strandhäll,47,K,Arbetarepartiet-Socialdemokraterna,S
Frida Bengtsson,40,K,Arbetarepartiet-Socialdemokraterna,S
Gustav Österman,28,M,Arbetarepartiet-Socialdemokraterna,S
Alma Carlsson,24,K,Arbetarepartiet-Socialdemokraterna,S
Andreas Lind,35,M,Arbetarepartiet-Socialdemokraterna,S
Irene Dolk Castellanos,79,K,Arbetarepartiet-Socialdemokraterna,S
Carl-Michael Palmér,21,M,Arbetarepartiet-Socialdemokraterna,S
Emmelie Renlund,33,K,Arbetarepartiet-Socialdemokraterna,S
Abebe Hailu,69,M,Arbetarepartiet-Socialdemokraterna,S
Anna Quarnström,37,K,Arbetarepartiet-Socialdemokraterna,S
Filmon Gorfu Bitew,29,M,Arbetarepartiet-Socialdemokraterna,S
Kadir Kasirga,47,M,Arbetarepartiet-Socialdemokraterna,S
Lowisa Lowe Ivman Anderzon,46,K,Arbetarepartiet-Socialdemokraterna,S
Sven Britton,84,M,Arbetarepartiet-Socialdemokraterna,S
Ulrika Lorentzi,55,K,Arbetarepartiet-Socialdemokraterna,S
Hans Palmqvist,56,M,Arbetarepartiet-Socialdemokraterna,S
Kajsa Borgnäs,40,K,Arbetarepartiet-Socialdemokraterna,S
Emil Stensson,34,M,Arbetarepartiet-Socialdemokraterna,S
Fadumo Igal,56,K,Arbetarepartiet-Socialdemokraterna,S
Stefan Johansson,34,M,Arbetarepartiet-Socialdemokraterna,S
Andrea Törnestam,31,K,Arbetarepartiet-Socialdemokraterna,S
Celal Altun,62,M,Arbetarepartiet-Socialdemokraterna,S
Lawen Redar,32,K,Arbetarepartiet-Socialdemokraterna,S
Solveig Holmgren,82,K,Arbetarepartiet-Socialdemokraterna,S
Daniel Carlstedt,37,M,Arbetarepartiet-Socialdemokraterna,S
Felicia Schartner Giertta,34,K,Arbetarepartiet-Socialdemokraterna,S
Rolf Lindell,81,M,Arbetarepartiet-Socialdemokraterna,S
Emelie Stark,32,K,Arbetarepartiet-Socialdemokraterna,S
