År,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Aug,Sep,Okt,Nov,Dec
2022,-0.5,0.9,1.8,0.6,1,1.4,0.1,1.8,NA,NA,NA,NA
2021,-0.4,0.3,0.2,0.2,0.2,0.1,0.3,0.5,0.5,0.2,0.5,1.3
2020,-1.4,0.5,-0.2,-0.3,0.6,0.6,0.2,-0.1,0.1,-0.1,0,0.7
2019,-1,0.7,0.2,0.7,0.3,-0.1,0.4,-0.4,0.5,0,0.1,0.4
2018,-0.8,0.7,0.3,0.4,0.2,0.2,0.5,-0.2,0.5,-0.1,-0.1,0.4
2017,-0.7,0.7,0,0.6,0.1,0.1,0.5,-0.2,0.1,-0.1,0.2,0.4
2016,-0.3,0.3,0.5,0,0.2,0.1,0.1,-0.1,0.2,0.3,0,0.5
2015,-1.1,0.7,0.1,0,0.3,-0.3,0,-0.2,0.4,0.1,-0.2,0.1
2014,-1.2,0.4,0,0.4,0.1,0.2,-0.3,-0.1,0.2,0.1,-0.1,0.2
2013,-0.8,0.4,0.4,-0.2,0.2,-0.2,-0.1,0.1,0.4,-0.2,-0.1,0.3
2012,-0.9,0.7,0.3,0.2,-0.1,-0.2,-0.4,0.1,0.4,-0.1,-0.2,0.3
2011,-0.5,0.6,0.7,0.4,0.2,-0.2,0,0,0.7,0,0.2,0.2
2010,-0.6,0.6,0.2,0,0.2,0,-0.3,0,0.8,0.3,0.3,0.7
2009,-0.4,0,0.3,0.2,-0.3,0.2,-0.5,0.2,0.3,0.3,0,0.2
2008,-0.7,0.4,1,0.4,0.4,0.5,-0.2,0.2,1,0.2,-0.8,-1.3
2007,-0.5,0.5,0.7,0.5,-0.1,0.2,-0.2,0,1,0.5,0.6,0.2
2006,-0.8,0.5,0.7,0.5,0.2,0,-0.2,0.1,0.6,0,0.1,0
2005,-0.5,0.5,0.2,0.1,0.1,0,-0.4,0.2,0.7,0.2,-0.2,0
2004,-0.2,-0.2,0.8,0,0.2,-0.4,-0.2,-0.1,0.7,0.3,-0.6,0
2003,0.3,0.9,0.5,-0.4,-0.1,-0.3,-0.3,0,0.7,0.1,-0.2,0.1
2002,-0.2,0.2,0.9,0.4,0.3,-0.1,-0.4,0.1,0.8,0.3,-0.2,0.1
2001,-0.3,0.4,0.7,0.9,0.7,-0.1,-0.5,0.2,0.8,-0.3,0,0.1
2000,-0.8,0.5,0.5,-0.1,0.5,0,-0.5,0.1,0.7,0.2,0.1,-0.1
1999,0,0,0.4,0.2,0.2,0.1,-0.4,0,0.7,0.1,-0.3,0.2
1998,-1,-0.1,0.2,0.3,0.2,-0.2,-0.2,-0.5,0.4,0.2,-0.3,-0.2
1997,0,0,0.4,0.5,0,0.1,-0.2,0.1,0.9,0.1,-0.2,-0.1
1996,-0.1,0.1,0.5,0.3,-0.1,-0.4,-0.2,-0.5,0.6,0,-0.2,-0.2
1995,0.4,0.4,0.4,0.7,0.1,-0.1,-0.1,-0.1,0.7,0.2,0,-0.3
1994,0.3,0.3,0.4,0.4,0.2,0,0,0,0.9,0.1,-0.1,-0.2
1993,2.7,0.3,0.4,0.4,-0.2,-0.3,-0.2,0.1,0.9,0.3,0,-0.4
1992,-0.2,0,0.5,0.2,0.1,-0.3,-0.1,0.1,1.5,0.2,-0.5,0.4
1991,2.4,2.8,0.4,0.5,0.1,-0.1,0,-0.1,1.1,0.4,0.5,-0.1
1990,2.9,0.3,2.7,0.4,0.6,-0.1,1,0.7,1.1,0.7,0.3,-0.1
1989,1.2,0.6,0.4,0.9,0.4,0.3,0,0.4,0.8,0.9,0.2,0.4
1988,0.5,0.7,0.5,0.9,0.4,0.2,0.5,0.2,0.8,0.8,0.2,0.2
1987,0.9,0.3,0.2,0.3,0.1,-0.2,1.2,0.5,0.9,0.5,0.3,0
1986,1.1,0.1,-0.2,0.6,0,0,0.2,-0.1,0.9,0.4,0,0.2
1985,0.6,0.9,0.8,0.4,1.1,-0.3,-0.1,0,0.4,0.6,0.7,0.4
1984,1.4,-0.4,1.4,0.6,0.7,-0.2,0.3,0.7,0.6,0.5,0.6,1.6
1983,2.2,0,0.4,0.8,0.6,0.5,0.8,0.5,0.7,0.8,0.6,0.8
1982,2.2,1.4,0.3,0.7,0.4,0.3,0.7,0.3,0.5,1.4,0.8,0.3
1981,1.9,1.9,0.5,0.6,0.6,0.4,0.9,0.8,0.7,0.6,0.4,-0.5
1980,3.3,1.5,0.5,0.7,0.3,0.3,0.8,0.6,2.8,1.4,0.6,0.4
