Riksdagsvalkrets,Kommunnamn,Parti,Röster 2022,Röster 2018
Västra Götalands läns västra,Ale,Moderaterna,3451,3639
Västra Götalands läns västra,Ale,Centerpartiet,994,1358
Västra Götalands läns västra,Ale,Liberalerna (tidigare Folkpartiet),631,914
Västra Götalands läns västra,Ale,Kristdemokraterna,1065,1212
Västra Götalands läns västra,Ale,Arbetarepartiet-Socialdemokraterna,5687,5401
Västra Götalands läns västra,Ale,Vänsterpartiet,1259,1478
Västra Götalands läns västra,Ale,Miljöpartiet de gröna,664,759
Västra Götalands läns västra,Ale,Sverigedemokraterna,4864,4301
Västra Götalands läns västra,Ale,Övriga anmälda partier,307,268
Västra Götalands läns västra,Ale,Ogiltiga röster - inte anmälda partier,3,10
Västra Götalands läns västra,Ale,Ogiltiga röster - blanka,175,218
Västra Götalands läns västra,Ale,Ogiltiga röster - övriga,98,9
Västra Götalands läns västra,Alingsås,Moderaterna,4844,5047
Västra Götalands läns västra,Alingsås,Centerpartiet,1866,2696
Västra Götalands läns västra,Alingsås,Liberalerna (tidigare Folkpartiet),1372,1857
Västra Götalands läns västra,Alingsås,Kristdemokraterna,1959,2369
Västra Götalands läns västra,Alingsås,Arbetarepartiet-Socialdemokraterna,8055,7268
Västra Götalands läns västra,Alingsås,Vänsterpartiet,1717,2149
Västra Götalands läns västra,Alingsås,Miljöpartiet de gröna,1555,1590
Västra Götalands läns västra,Alingsås,Sverigedemokraterna,5170,4221
Västra Götalands läns västra,Alingsås,Övriga anmälda partier,386,374
Västra Götalands läns västra,Alingsås,Ogiltiga röster - inte anmälda partier,20,7
Västra Götalands läns västra,Alingsås,Ogiltiga röster - blanka,241,223
Västra Götalands läns västra,Alingsås,Ogiltiga röster - övriga,76,19
Kronobergs län,Alvesta,Moderaterna,2119,2191
Kronobergs län,Alvesta,Centerpartiet,725,1125
Kronobergs län,Alvesta,Liberalerna (tidigare Folkpartiet),279,351
Kronobergs län,Alvesta,Kristdemokraterna,868,916
Kronobergs län,Alvesta,Arbetarepartiet-Socialdemokraterna,3419,3532
Kronobergs län,Alvesta,Vänsterpartiet,468,617
Kronobergs län,Alvesta,Miljöpartiet de gröna,303,322
Kronobergs län,Alvesta,Sverigedemokraterna,3373,3100
Kronobergs län,Alvesta,Övriga anmälda partier,235,177
Kronobergs län,Alvesta,Ogiltiga röster - inte anmälda partier,4,2
Kronobergs län,Alvesta,Ogiltiga röster - blanka,103,111
Kronobergs län,Alvesta,Ogiltiga röster - övriga,39,6
Jönköpings län,Aneby,Moderaterna,689,726
Jönköpings län,Aneby,Centerpartiet,393,573
Jönköpings län,Aneby,Liberalerna (tidigare Folkpartiet),137,152
