Riksdagsvalkrets,Kommunnamn,Röstberättigade 2022,Röstberättigade 2018
Västra Götalands läns västra,Ale,23183,22266
Västra Götalands läns västra,Alingsås,31858,30990
Kronobergs län,Alvesta,14577,14097
Jönköpings län,Aneby,5110,5029
Västmanlands län,Arboga,10941,10678
Norrbottens län,Arjeplog,2126,2219
Norrbottens län,Arvidsjaur,4772,4963
Värmlands län,Arvika,19875,19979
Örebro län,Askersund,9143,8916
Dalarnas län,Avesta,17247,16988
Västra Götalands läns norra,Bengtsfors,7068,7103
Jämtlands län,Berg,5526,5443
Västerbottens län,Bjurholm,1832,1886
Skåne läns västra,Bjuv,10978,10581
Norrbottens län,Boden,22020,21934
Västra Götalands läns södra,Bollebygd,7202,6915
Gävleborgs län,Bollnäs,20583,20306
Kalmar län,Borgholm,8987,8748
Dalarnas län,Borlänge,38793,37646
Västra Götalands läns södra,Borås,83755,81563
Stockholms län,Botkyrka,61173,58436
Östergötlands län,Boxholm,4306,4212
Skåne läns norra och östra,Bromölla,9567,9387
Jämtlands län,Bräcke,4820,4921
Skåne läns södra,Burlöv,13478,12513
Skåne läns norra och östra,Båstad,12594,11774
Västra Götalands läns norra,Dals-Ed,3503,3475
Stockholms län,Danderyd,24212,23891
Örebro län,Degerfors,7454,7436
Västerbottens län,Dorotea,1937,2076
Värmlands län,Eda,5454,5348
Stockholms län,Ekerö,20311,19472
Jönköpings län,Eksjö,13384,12932
Kalmar län,Emmaboda,6882,6900
Uppsala län,Enköping,34989,32735
Södermanlands län,Eskilstuna,78399,74782
Skåne läns västra,Eslöv,24952,24227
Västra Götalands läns östra,Essunga,4380,4322
Västmanlands län,Fagersta,9606,9411
Hallands län,Falkenberg,35857,33924
Västra Götalands läns östra,Falköping,24874,24387
Dalarnas län,Falun,45986,44894
Värmlands län,Filipstad,7763,7763
Östergötlands län,Finspång,16649,16450
Södermanlands län,Flen,12035,11871
Värmlands län,Forshaga,8818,8666
Västra Götalands läns norra,Färgelanda,5020,4991
Dalarnas län,Gagnef,8042,7834
Jönköpings län,Gislaved,21358,21068
Södermanlands län,Gnesta,8611,8263
Jönköpings län,Gnosjö,6831,6871
Gotlands län,Gotland,48265,46871
Värmlands län,Grums,6950,6917
Västra Götalands läns östra,Grästorp,4530,4492
Västra Götalands läns östra,Gullspång,4028,3990
Norrbottens län,Gällivare,13649,14081
Gävleborgs län,Gävle,78840,76433
Göteborgs kommun,Göteborg,433955,418425
Västra Götalands läns östra,Götene,10273,10064
Jönköpings län,Habo,9141,8382
Värmlands län,Hagfors,8850,9134
Örebro län,Hallsberg,11928,11634
Västmanlands län,Hallstahammar,12311,11855
Hallands län,Halmstad,79107,75693
Värmlands län,Hammarö,12333,12072
Stockholms län,Haninge,64624,59890
Norrbottens län,Haparanda,6195,6120
Uppsala län,Heby,10902,10607
Dalarnas län,Hedemora,11835,11584
Skåne läns västra,Helsingborg,110490,105779
Västra Götalands läns södra,Herrljunga,7312,7255
Västra Götalands läns östra,Hjo,7214,7094
Gävleborgs län,Hofors,7374,7333
Stockholms län,Huddinge,76083,72839
Gävleborgs län,Hudiksvall,29556,29182
Kalmar län,Hultsfred,10279,10187
Hallands län,Hylte,7441,7210
Uppsala län,Håbo,16316,15185
Örebro län,Hällefors,5007,5160
Jämtlands län,Härjedalen,8122,8016
Västernorrlands län,Härnösand,19097,18829
Västra Götalands läns västra,Härryda,28325,26845
Skåne läns norra och östra,Hässleholm,39471,38988
Skåne läns västra,Höganäs,21304,19975
Kalmar län,Högsby,3988,4071
Skåne läns västra,Hörby,11938,11722
Skåne läns västra,Höör,12801,12325
Norrbottens län,Jokkmokk,3773,3913
Stockholms län,Järfälla,57746,53230
Jönköpings län,Jönköping,107305,102880
Norrbottens län,Kalix,12444,12765
Kalmar län,Kalmar,54418,51639
